ip,app,device,os,channel,click_hour,click_time
10.0.7.3,com.android.chrome,mobile,Windows,organic,10,2025-01-01 09:00:00
10.0.10.2,com.android.chrome,desktop,iOS,organic,15,2025-01-01 09:00:11
10.0.23.5,com.android.chrome,mobile,Android,organic,0,2025-01-01 09:00:16
10.0.31.6,com.news.app,desktop,iOS,organic,8,2025-01-01 09:00:27
10.0.49.7,com.shopping.app,mobile,iOS,organic,6,2025-01-01 09:01:04
10.0.38.6,com.android.chrome,desktop,iOS,organic,6,2025-01-01 09:01:40
10.0.39.3,com.news.app,mobile,iOS,organic,7,2025-01-01 09:01:00
10.0.29.3,com.shopping.app,desktop,Windows,organic,9,2025-01-01 09:00:35
10.0.22.8,com.shopping.app,mobile,iOS,organic,10,2025-01-01 09:02:08
10.0.35.8,com.news.app,desktop,iOS,organic,12,2025-01-01 09:01:57
10.0.40.2,com.news.app,mobile,Windows,organic,10,2025-01-01 09:01:50
10.0.19.1,com.news.app,desktop,iOS,organic,15,2025-01-01 09:02:01
10.0.7.1,com.news.app,mobile,Android,organic,7,2025-01-01 09:02:00
10.0.43.6,com.shopping.app,desktop,Android,organic,18,2025-01-01 09:03:15
10.0.45.9,com.android.chrome,mobile,iOS,organic,3,2025-01-01 09:03:02
10.0.47.2,com.shopping.app,mobile,Windows,organic,14,2025-01-01 09:01:45
10.0.26.8,com.android.chrome,mobile,iOS,organic,10,2025-01-01 09:02:40
10.0.10.2,com.shopping.app,desktop,iOS,organic,13,2025-01-01 09:02:50
10.0.38.7,com.news.app,desktop,Android,organic,6,2025-01-01 09:02:06
10.0.5.7,com.shopping.app,desktop,Windows,organic,7,2025-01-01 09:04:45
10.0.7.9,com.shopping.app,mobile,Android,organic,16,2025-01-01 09:02:00
10.0.3.9,com.news.app,mobile,iOS,organic,21,2025-01-01 09:05:36
10.0.13.2,com.news.app,mobile,iOS,organic,8,2025-01-01 09:03:18
10.0.2.4,com.android.chrome,desktop,iOS,organic,15,2025-01-01 09:06:54
10.0.7.1,com.android.chrome,mobile,Android,organic,18,2025-01-01 09:02:24
10.0.7.5,com.android.chrome,mobile,Android,organic,18,2025-01-01 09:05:25
10.0.26.4,com.shopping.app,desktop,iOS,organic,5,2025-01-01 09:06:30
10.0.45.5,com.news.app,mobile,Android,organic,4,2025-01-01 09:03:36
10.0.2.4,com.shopping.app,mobile,iOS,organic,7,2025-01-01 09:06:32
10.0.42.1,com.news.app,mobile,iOS,organic,18,2025-01-01 09:05:48
10.0.37.5,com.android.chrome,mobile,Android,organic,6,2025-01-01 09:05:30
10.0.12.3,com.shopping.app,mobile,Windows,organic,10,2025-01-01 09:08:47
10.0.36.4,com.shopping.app,mobile,Windows,organic,20,2025-01-01 09:10:08
10.0.31.4,com.news.app,mobile,Android,organic,12,2025-01-01 09:04:24
10.0.19.1,com.news.app,mobile,Android,organic,15,2025-01-01 09:05:40
10.0.13.8,com.android.chrome,mobile,Windows,organic,9,2025-01-01 09:07:35
10.0.40.1,com.news.app,mobile,iOS,organic,15,2025-01-01 09:06:00
10.0.43.3,com.android.chrome,mobile,Windows,organic,17,2025-01-01 09:08:01
10.0.13.6,com.android.chrome,mobile,Windows,organic,2,2025-01-01 09:09:30
10.0.25.3,com.news.app,mobile,Windows,organic,16,2025-01-01 09:07:09
10.0.35.7,com.news.app,desktop,iOS,organic,22,2025-01-01 09:11:20
10.0.41.5,com.android.chrome,desktop,Windows,organic,16,2025-01-01 09:05:28
10.0.5.5,com.shopping.app,desktop,iOS,organic,8,2025-01-01 09:11:12
10.0.25.3,com.android.chrome,mobile,Android,organic,16,2025-01-01 09:08:36
10.0.3.9,com.android.chrome,mobile,iOS,organic,6,2025-01-01 09:05:08
10.0.43.5,com.news.app,mobile,Android,organic,10,2025-01-01 09:12:00
10.0.43.2,com.shopping.app,desktop,iOS,organic,19,2025-01-01 09:15:20
10.0.25.3,com.news.app,desktop,Android,organic,8,2025-01-01 09:10:11
10.0.22.3,com.android.chrome,mobile,Windows,organic,8,2025-01-01 09:05:36
10.0.43.6,com.android.chrome,desktop,iOS,organic,6,2025-01-01 09:14:42
10.0.22.1,com.android.chrome,mobile,Android,organic,2,2025-01-01 09:14:10
10.0.7.6,com.news.app,mobile,Windows,organic,15,2025-01-01 09:13:36
10.0.17.4,com.shopping.app,mobile,Windows,organic,7,2025-01-01 09:12:08
10.0.24.3,com.news.app,desktop,Android,organic,8,2025-01-01 09:12:22
10.0.49.9,com.news.app,mobile,Android,organic,11,2025-01-01 09:10:48
10.0.7.2,com.android.chrome,mobile,iOS,organic,4,2025-01-01 09:08:15
10.0.29.1,com.android.chrome,mobile,Windows,organic,13,2025-01-01 09:12:08
10.0.40.4,com.news.app,mobile,iOS,organic,6,2025-01-01 09:08:33
10.0.19.1,com.shopping.app,desktop,Android,organic,13,2025-01-01 09:05:48
10.0.15.5,com.android.chrome,desktop,Android,organic,15,2025-01-01 09:13:46
10.0.41.6,com.shopping.app,mobile,Android,organic,6,2025-01-01 09:11:00
10.0.19.5,com.shopping.app,desktop,iOS,organic,10,2025-01-01 09:08:08
10.0.43.2,com.shopping.app,desktop,Android,organic,15,2025-01-01 09:12:24
10.0.10.4,com.news.app,desktop,Windows,organic,10,2025-01-01 09:05:15
10.0.12.8,com.shopping.app,desktop,Android,organic,4,2025-01-01 09:05:20
10.0.39.3,com.news.app,mobile,Windows,organic,12,2025-01-01 09:15:10
10.0.7.6,com.shopping.app,mobile,iOS,organic,14,2025-01-01 09:15:24
10.0.48.2,com.news.app,mobile,iOS,organic,12,2025-01-01 09:21:13
10.0.35.6,com.android.chrome,desktop,Android,organic,20,2025-01-01 09:10:12
10.0.47.3,com.news.app,mobile,Windows,organic,13,2025-01-01 09:12:39
10.0.12.4,com.android.chrome,desktop,Android,organic,19,2025-01-01 09:15:10
10.0.44.7,com.news.app,mobile,iOS,organic,6,2025-01-01 09:20:07
10.0.27.1,com.shopping.app,mobile,Android,organic,6,2025-01-01 09:08:24
10.0.29.5,com.shopping.app,desktop,Android,organic,17,2025-01-01 09:20:41
10.0.40.8,com.android.chrome,desktop,Windows,organic,10,2025-01-01 09:22:12
10.0.1.7,com.news.app,mobile,iOS,organic,7,2025-01-01 09:10:00
10.0.44.8,com.android.chrome,mobile,Android,organic,19,2025-01-01 09:19:00
10.0.8.7,com.shopping.app,desktop,iOS,organic,9,2025-01-01 09:12:50
10.0.45.6,com.shopping.app,mobile,Windows,organic,16,2025-01-01 09:13:00
10.0.20.3,com.shopping.app,mobile,Windows,organic,15,2025-01-01 09:18:26
10.0.43.3,com.shopping.app,desktop,Android,organic,18,2025-01-01 09:22:40
10.0.47.3,com.android.chrome,desktop,Android,organic,14,2025-01-01 09:09:27
10.0.10.7,com.news.app,desktop,Android,organic,16,2025-01-01 09:17:46
10.0.27.3,com.android.chrome,mobile,Android,organic,9,2025-01-01 09:20:45
10.0.27.4,com.news.app,desktop,Android,organic,8,2025-01-01 09:21:00
10.0.38.5,com.shopping.app,mobile,Android,organic,18,2025-01-01 09:26:55
10.0.49.8,com.android.chrome,desktop,Windows,organic,10,2025-01-01 09:28:40
10.0.31.8,com.news.app,desktop,Windows,organic,21,2025-01-01 09:24:39
10.0.34.8,com.android.chrome,desktop,Windows,organic,14,2025-01-01 09:11:44
10.0.13.2,com.android.chrome,desktop,Android,organic,14,2025-01-01 09:28:11
10.0.25.1,com.shopping.app,desktop,Windows,organic,6,2025-01-01 09:30:00
10.0.34.7,com.news.app,mobile,iOS,organic,20,2025-01-01 09:12:08
10.0.4.2,com.android.chrome,desktop,iOS,organic,10,2025-01-01 09:13:48
10.0.46.6,com.android.chrome,desktop,iOS,organic,13,2025-01-01 09:12:24
10.0.15.9,com.shopping.app,desktop,iOS,organic,10,2025-01-01 09:21:56
